sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
ENCSR002YRE,https://www.encodeproject.org/files/ENCFF437DDC/@@download/ENCFF437DDC.fastq.gz,,2,H3K27ac,ENCSR001BSB,1
ENCSR004EKY,https://www.encodeproject.org/files/ENCFF759UQY/@@download/ENCFF759UQY.fastq.gz,,1,H3K27ac,ENCSR020OIW,1
ENCSR004EKY,https://www.encodeproject.org/files/ENCFF877CMK/@@download/ENCFF877CMK.fastq.gz,,1,H3K27ac,ENCSR020OIW,1
ENCSR004HIE,https://www.encodeproject.org/files/ENCFF225DCF/@@download/ENCFF225DCF.fastq.gz,,1,H3K27ac,ENCSR634QZP,1
ENCSR004HIE,https://www.encodeproject.org/files/ENCFF233PCU/@@download/ENCFF233PCU.fastq.gz,,1,H3K27ac,ENCSR634QZP,1
ENCSR004HIE,https://www.encodeproject.org/files/ENCFF347UGD/@@download/ENCFF347UGD.fastq.gz,,1,H3K27ac,ENCSR634QZP,1
ENCSR004HIE,https://www.encodeproject.org/files/ENCFF959SEU/@@download/ENCFF959SEU.fastq.gz,,1,H3K27ac,ENCSR634QZP,1
ENCSR004HIE,https://www.encodeproject.org/files/ENCFF238XWL/@@download/ENCFF238XWL.fastq.gz,,1,H3K27ac,ENCSR634QZP,1
ENCSR004HIE,https://www.encodeproject.org/files/ENCFF300BFU/@@download/ENCFF300BFU.fastq.gz,,1,H3K27ac,ENCSR634QZP,1
ENCSR004HIE,https://www.encodeproject.org/files/ENCFF467ZRD/@@download/ENCFF467ZRD.fastq.gz,,1,H3K27ac,ENCSR634QZP,1
ENCSR004HIE,https://www.encodeproject.org/files/ENCFF545ZYN/@@download/ENCFF545ZYN.fastq.gz,,1,H3K27ac,ENCSR634QZP,1
ENCSR004YQD,https://www.encodeproject.org/files/ENCFF283JAG/@@download/ENCFF283JAG.fastq.gz,,1,H3K27ac,ENCSR293ZPH,1
ENCSR004YQD,https://www.encodeproject.org/files/ENCFF469CAQ/@@download/ENCFF469CAQ.fastq.gz,,1,H3K27ac,ENCSR293ZPH,1
ENCSR004YQD,https://www.encodeproject.org/files/ENCFF689GCB/@@download/ENCFF689GCB.fastq.gz,,1,H3K27ac,ENCSR293ZPH,1
ENCSR004YQD,https://www.encodeproject.org/files/ENCFF693CUM/@@download/ENCFF693CUM.fastq.gz,,1,H3K27ac,ENCSR293ZPH,1
ENCSR004YQD,https://www.encodeproject.org/files/ENCFF310YKF/@@download/ENCFF310YKF.fastq.gz,,1,H3K27ac,ENCSR293ZPH,1
ENCSR004YQD,https://www.encodeproject.org/files/ENCFF351VHR/@@download/ENCFF351VHR.fastq.gz,,1,H3K27ac,ENCSR293ZPH,1
ENCSR004YQD,https://www.encodeproject.org/files/ENCFF388YHN/@@download/ENCFF388YHN.fastq.gz,,1,H3K27ac,ENCSR293ZPH,1
ENCSR004YQD,https://www.encodeproject.org/files/ENCFF922SBN/@@download/ENCFF922SBN.fastq.gz,,1,H3K27ac,ENCSR293ZPH,1
ENCSR006ANF,https://www.encodeproject.org/files/ENCFF646FLI/@@download/ENCFF646FLI.fastq.gz,,1,H3K27ac,ENCSR871SEB,1
ENCSR006ANF,https://www.encodeproject.org/files/ENCFF596VVW/@@download/ENCFF596VVW.fastq.gz,,2,H3K27ac,ENCSR871SEB,2
ENCSR007HLH,https://www.encodeproject.org/files/ENCFF915ZPV/@@download/ENCFF915ZPV.fastq.gz,,1,H3K27ac,ENCSR247BVB,1
ENCSR007HLH,https://www.encodeproject.org/files/ENCFF941MDI/@@download/ENCFF941MDI.fastq.gz,,1,H3K27ac,ENCSR247BVB,1
ENCSR007YOT,https://www.encodeproject.org/files/ENCFF863CCQ/@@download/ENCFF863CCQ.fastq.gz,,1,H3K27ac,ENCSR922FLS,1
ENCSR007YOT,https://www.encodeproject.org/files/ENCFF447BFL/@@download/ENCFF447BFL.fastq.gz,,2,H3K27ac,ENCSR922FLS,2
ENCSR010OVI,https://www.encodeproject.org/files/ENCFF928KVZ/@@download/ENCFF928KVZ.fastq.gz,,1,H3K27ac,ENCSR841CWN,1
ENCSR010OVI,https://www.encodeproject.org/files/ENCFF857LFL/@@download/ENCFF857LFL.fastq.gz,,2,H3K27ac,ENCSR841CWN,2
ENCSR011BHU,https://www.encodeproject.org/files/ENCFF214QFH/@@download/ENCFF214QFH.fastq.gz,,1,H3K27ac,ENCSR258GSA,1
ENCSR011BHU,https://www.encodeproject.org/files/ENCFF246RRM/@@download/ENCFF246RRM.fastq.gz,,1,H3K27ac,ENCSR258GSA,1
ENCSR011BHU,https://www.encodeproject.org/files/ENCFF335MFE/@@download/ENCFF335MFE.fastq.gz,,1,H3K27ac,ENCSR258GSA,1
