experiment_accession	is_control	matched_control	target_label	assay_title	description	lab	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	organism	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	run_type	platform	bio_replicate_count	tech_replicate_count	replication_type	date_released	status_exp	n_fastq_files	total_bytes
ENCSR557RDB	True			Control ChIP-seq	Homo sapiens neutrophil	Bradley Bernstein, Broad	CL:0000775	neutrophil	primary cell	bodily fluid,blood	leukocyte,myeloid cell,hematopoietic cell	mesoderm	immune system	Homo sapiens	ENCDO082FOL	unknown	unknown				single-ended	Illumina HiSeq 2500	2	2	anisogenic	2016-11-17	released	8	9110741995.0
ENCSR557RJE	True			Control ChIP-seq	Homo sapiens colonic mucosa tissue female adult (41 years)	Bradley Bernstein, Broad	UBERON:0000317	colonic mucosa	tissue	colon,intestine,large intestine		endoderm	digestive system	Homo sapiens	ENCDO575WHY	female	adult	41	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-06-21	released	8	4617068354.0
ENCSR559IPI	True			Control ChIP-seq	Homo sapiens prostate gland tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0002367	prostate gland	tissue	prostate gland		mesoderm,endoderm	reproductive system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	2	5	isogenic	2019-09-06	released	10	11067629905.0
ENCSR560BEL	False	ENCSR111ZAD	H3K27ac	Histone ChIP-seq	Homo sapiens with basal cell carcinoma; skin epidermis tissue female adult (48 years)	Bradley Bernstein, Broad	UBERON:0001003	skin epidermis	tissue	epithelium,skin of body		ectoderm	integumental system	Homo sapiens	ENCDO615YQP	female	adult	48	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2020-09-10	released	4	2255629789.0
ENCSR561KOM	False	ENCSR074WNF	H3K27ac	Histone ChIP-seq	Homo sapiens CD4-positive, alpha-beta T cell male adult (21 years)	John Stamatoyannopoulos, UW	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	bodily fluid,blood	leukocyte,T cell,CD4+ T cell,hematopoietic cell	mesoderm,endoderm	immune system	Homo sapiens	ENCDO190HXC	male	adult	21	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	2010040600.0
ENCSR561VNL	False	ENCSR261PLD	H3K27ac	Histone ChIP-seq	Homo sapiens heart left ventricle tissue female adult (56 years)	Bradley Bernstein, Broad	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO907YUG	female	adult	56	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	3425041632.0
ENCSR561YSH	False	ENCSR574WQE	H3K27ac	Histone ChIP-seq	Homo sapiens sigmoid colon tissue male adult (34 years)	Bing Ren, UCSD	UBERON:0001159	sigmoid colon	tissue	colon,large intestine,intestine		endoderm	digestive system	Homo sapiens	ENCDO058AAA	male	adult	34	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	1006769611.0
ENCSR562HZE	True			Control ChIP-seq	Homo sapiens angular gyrus tissue male adult (81 years)	Bradley Bernstein, Broad	UBERON:0002686	angular gyrus	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO980BZD	male	adult	81	year		single-ended	Illumina HiSeq 2000	1	2	unreplicated	2013-07-31	released	24	3691576986.0
ENCSR563EFJ	True			Control ChIP-seq	Homo sapiens fibroblast of breast female adult (17 years)	Joseph Costello, UCSF	NTR:0003079	fibroblast of breast	primary cell	breast	fibroblast			Homo sapiens	ENCDO967GTN	female	adult	17	year	African American	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	1724919493.0
ENCSR563OLJ	True			Control ChIP-seq	Homo sapiens spleen tissue female adult (30 years)	Bing Ren, UCSD	UBERON:0002106	spleen	tissue	spleen,immune organ		mesoderm	immune system,digestive system	Homo sapiens	ENCDO424HVB	female	adult	30	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	1348649447.0
