sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM1264385,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264385/fastq/SRR1029889.fastq.gz,,1,,,
GSM1264386,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264386/fastq/SRR1029890.fastq.gz,,1,H3K27ac,GSM1264387,1
GSM1264387,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264387/fastq/SRR1029891.fastq.gz,,1,,,
GSM1264388,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264388/fastq/SRR1029892.fastq.gz,,1,H3K27ac,GSM1264389,1
GSM1264389,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264389/fastq/SRR1029893.fastq.gz,,1,,,
GSM1264390,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264390/fastq/SRR1029894.fastq.gz,,1,H3K27ac,GSM1264391,1
GSM1264391,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264391/fastq/SRR1029895.fastq.gz,,1,,,
GSM1264392,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264392/fastq/SRR1029896.fastq.gz,,1,H3K27ac,GSM1264393,1
GSM1264393,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264393/fastq/SRR1029897.fastq.gz,,1,,,
GSM1264394,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264394/fastq/SRR1029898.fastq.gz,,1,H3K27ac,GSM1264395,1
GSM1264395,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264395/fastq/SRR1029899.fastq.gz,,1,,,
GSM1264396,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264396/fastq/SRR1029900.fastq.gz,,1,H3K27ac,GSM1264397,1
GSM1264397,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264397/fastq/SRR1029901.fastq.gz,,1,,,
GSM1264398,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264398/fastq/SRR1029902.fastq.gz,,1,H3K27ac,GSM1264399,1
GSM1264399,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264399/fastq/SRR1029903.fastq.gz,,1,,,
GSM1279691,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1279691/fastq/SRR1042882.fastq.gz,,1,H3K27ac,GSM1279693,1
GSM1279693,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1279693/fastq/SRR1042884.fastq.gz,,1,,,
GSM1282183,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1282183/fastq/SRR1044662.fastq.gz,,1,H3K27ac,GSM1282131,1
GSM1282131,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1282131/fastq/SRR1044610.fastq.gz,,1,,,
GSM1282184,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1282184/fastq/SRR1044663.fastq.gz,,1,H3K27ac,GSM1282132,1
GSM1282132,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1282132/fastq/SRR1044611.fastq.gz,,1,,,
GSM1309520,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1309520/fastq/SRR1124806.fastq.gz,,1,H3K27ac,GSM1309529,1
GSM1309529,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1309529/fastq/SRR1124815.fastq.gz,,1,,,
