sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM2740940,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2740940/fastq/SRR5928809_1.fastq.gz,,1,,,
GSM2741449,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2741449/fastq/SRR5929686.fastq.gz,,1,H3K27ac,GSM2741452,1
GSM2741452,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2741452/fastq/SRR5929689.fastq.gz,,1,,,
GSM602294,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM602294/fastq/SRR067373.fastq.gz,,1,H3K27ac,GSM602292,1
GSM602292,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM602292/fastq/SRR067371.fastq.gz,,1,,,
GSM602302,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM602302/fastq/SRR067381.fastq.gz,,1,H3K27ac,GSM602300,1
GSM602300,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM602300/fastq/SRR067379.fastq.gz,,1,,,
GSM714807,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM714807/fastq/SRR191355.fastq.gz,,1,H3K27ac,GSM714805,1
GSM714805,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM714805/fastq/SRR191353.fastq.gz,,1,,,
GSM883681,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM883681/fastq/SRR424634.fastq.gz,,1,H3K27ac,GSM883667,1
GSM883667,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM883667/fastq/SRR424620.fastq.gz,,1,,,
GSM999000,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM999000/fastq/SRR557717.fastq.gz,,1,H3K27ac,GSM999012,1
GSM999012,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM999012/fastq/SRR557729.fastq.gz,,1,,,
GSM999001,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM999001/fastq/SRR557718.fastq.gz,,1,H3K27ac,GSM999013,1
GSM999013,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM999013/fastq/SRR557730.fastq.gz,,1,,,
GSM1009625,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1009625/fastq/SRR576780.fastq.gz,,1,H3K27ac,GSM1009651,1
GSM1009651,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1009651/fastq/SRR576806.fastq.gz,,1,,,
GSM1365900,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1365900/fastq/SRR1223426.fastq.gz,,1,H3K27ac,GSM1197323,1
GSM1197323,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1197323/fastq/SRR944361.fastq.gz,,1,,,
GSM1203230,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1203230/fastq/SRR949473.fastq.gz,,1,H3K27ac,GSM1203232,1
GSM1203232,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1203232/fastq/SRR949475.fastq.gz,,1,,,
GSM1203232,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1203232/fastq/SRR949476.fastq.gz,,1,,,
GSM1296384,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1296384/fastq/SRR1057274.fastq.gz,,1,H3K27ac,GSM1296386,1
GSM1296386,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1296386/fastq/SRR1057276.fastq.gz,,1,,,
GSM1261672,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1261672/fastq/SRR1027804.fastq.gz,,1,H3K27ac,GSM1261673,1
GSM1261673,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1261673/fastq/SRR1027805.fastq.gz,,1,,,
GSM1261674,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1261674/fastq/SRR1027806.fastq.gz,,1,H3K27ac,GSM1261676,1
GSM1261674,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1261674/fastq/SRR1027807.fastq.gz,,1,H3K27ac,GSM1261676,1
GSM1261676,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1261676/fastq/SRR1027810.fastq.gz,,1,,,
GSM1261676,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1261676/fastq/SRR1027811.fastq.gz,,1,,,
GSM1252939,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1252939/fastq/SRR1019702.fastq.gz,,1,H3K27ac,GSM1252932,1
GSM1252932,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1252932/fastq/SRR1019695.fastq.gz,,1,,,
GSM1252940,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1252940/fastq/SRR1019703.fastq.gz,,1,H3K27ac,GSM1252935,1
GSM1252935,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1252935/fastq/SRR1019698.fastq.gz,,1,,,
GSM1273645,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1273645/fastq/SRR1036364.fastq.gz,,1,H3K27ac,GSM1273642,1
GSM1273642,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1273642/fastq/SRR1036361.fastq.gz,,1,,,
GSM1273655,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1273655/fastq/SRR1036374.fastq.gz,,1,H3K27ac,GSM1273652,1
